open,high,low,close
52248,56264,51724,55144
55145,60088,55144,59416
59458,62300,57570,60342
60273,61182,59552,60309
60000,60444,58001,59567
59555,59862,58650,58708
58796,60802,58655,60591
60586,63146,60498,61526
61526,62484,60345,61450
61450,62999,61001,62759
62758,63700,62100,62283
62283,62645,61335,62046
62046,62782,61500,61808
61804,62497,61717,62009
62009,62840,61943,62714
62714,70176,61699,69600
69600,76982,69000,76765
76823,76823,73487,73526
73500,74707,71756,73772
73701,79800,73500,78216
78280,83000,77794,79251
79252,81499,77990,79971
79976,82000,78358,80530
80527,81000,78500,78485
78642,79326,46000,68464
68464,71846,63000,70052
69984,70400,58200,60748
60566,70787,59435,68208
68208,72136,67000,70305
70305,70803,62584,64431
64456,66734,62701,64428
64428,67620,64012,65816
65888,67612,64269,65796
65800,70000,65616,69033
69033,71777,68817,70000
70000,72990,69690,72000
71975,73543,68361,68576
68576,70848,66801,70624
70603,71367,68100,68001
67999,69792,67986,68471
68471,69363,63932,65169
65169,66216,61274,65922
65923,67615,65000,66801
66801,67079,62646,64710
64707,66693,64702,66270
66270,68288,66000,68245
68266,70677,68266,68829
68816,69906,67500,69700
69645,70748,67665,69944
69944,70269,69137,69610
69610,70333,69530,70093
70093,72164,70012,71998
71998,73712,70754,71407
71407,71809,70823,71436
71436,71436,70228,70824
70823,70915,69188,69450
69451,69990,68600,69502
69420,70044,69046,70177
70178,70503,69257,69517
69517,69749,67904,68699
68694,69355,68440,69199
69199,69704,68858,69155
69155,69156,68001,68002
68002,68048,67366,67478
67478,67599,64505,64733
64750,65089,63277,63989
63989,63989,60277,61284
61284,61284,46464,55524
55524,59828,55153,58341
58425,59113,57519,58667
58882,59196,58000,58264
58264,61485,58249,61485
61451,61920,60191,61039
61039,61499,60201,60961
60961,61839,60304,61388
61388,61388,60505,60572
60585,60786,60002,60201
60201,60328,59735,60072
60072,60137,58418,58876
58876,58930,57843,57858
57858,58501,57110,57879
57879,58900,57821,58006
58006,58586,57724,58388
58366,59059,57787,58318
58318,58850,58143,58365
58344,58701,58342,58400
58400,59010,58400,58990
58991,59558,58729,58783
58769,58801,58300,58361
58361,58448,57757,57983
57983,58621,57963,58511
58511,58785,58326,58044
58044,58495,57801,58288
58288,58783,58226,58563
58563,59225,58311,59110
59110,59678,59000,59186
59152,59548,59139,59270
59270,59555,59071,59550
59550,59722,59429,59679
59680,63000,59536,62701
62701,63139,62511,62760
62760,63307,62626,62947
62925,62948,62127,62441
62441,63816,62441,63712
63712,64125,63436,64048
64047,64499,63967,64243
64256,64480,64121,64209
64209,64745,61101,62000
61995,62519,61995,62430
62429,62947,62362,62908
62908,62919,62574,62758
62758,62758,62368,62655
62661,62661,62501,62501
62501,62800,62300,62698
62686,62910,62235,62234
62234,62336,61900,62008
62008,62065,60109,60193
60199,60558,60137,60476
60476,61061,60228,61012
61012,61484,60976,61066
61066,61290,60724,60795
60795,61430,60650,61244
61244,61400,61027,61176
61176,61599,60945,61181
61181,61563,61005,61368
61381,61481,61158,61394
61394,62360,61366,62356
62376,62453,61773,61847
61847,62372,61652,62280
62280,62699,62200,62699
62699,63500,62690,63499
63499,63909,63310,63899
63900,64305,63441,64103
64095,64198,63713,63767
63766,64006,63508,63553
63553,63909,63184,63525
63684,67234,63500,65802
65802,66600,65631,66600
66600,66861,66274,66299
66299,67000,66013,66671
66671,67198,66671,67109
67109,67197,66359,66799
66799,67239,66799,67129
67129,67249,66854,67075
67075,67075,65500,65581
65581,66137,65342,65749
65749,66382,65595,66250
66250,67150,66225,67300
67300,69671,67300,68480
68480,69009,68100,68899
68899,69489,68570,69500
69477,70489,69000,70286
70287,74878,70272,72530
72530,73687,72284,73479
73421,75799,73200,75814
75815,77648,73479,75146
75146,75776,72718,75344
75343,78023,74780,77525
77510,77709,75787,76006
76006,78368,75863,76393
76393,76442,69323,72700
72462,73572,71494,72689
72689,74580,72689,72600
72613,74832,72172,73680
73678,75463,73629,74999
74999,77194,73805,76228
76228,77254,76054,76496
76496,77103,76419,77100
77091,77125,75868,76219
76150,76330,73511,73958
73958,76986,73890,76592
76712,77258,76194,77143
77143,81589,77127,79655
79655,83138,79389,82295
82295,83300,81501,82693
82694,84864,82324,84028
84028,84636,81500,81001
81001,84700,78889,82423
82449,84499,82364,84298
84275,84934,82887,83651
83800,85089,83401,84279
84266,85200,83700,84915
84913,85582,84150,84501
84501,85250,84102,84887
84905,85050,84376,84588
84634,85389,84542,85075
85052,87550,84837,87037
87037,88888,87037,88826
88808,94293,88600,92300
92200,93150,91399,91682
91682,91915,90885,91305
91314,92631,91000,91629
91647,93500,91504,92526
92525,92726,89212,89928
89839,92949,89145,90128
89916,92500,89611,90361
90400,90965,90090,90526
90526,90685,90066,90197
90196,91890,89891,91800
91800,92202,91206,92016
92016,92500,90701,91104
91104,92990,90607,92723
92750,93850,92568,93662
93662,95000,93351,94001
94001,94200,93672,93784
93784,97123,93415,94475
94475,95683,94015,95500
95494,98661,95283,98701
98701,109871,98650,106090
106090,114341,105140,109541
109584,110976,107036,107904
107934,109224,103470,104269
104223,109242,104105,107724
107742,113353,107233,112525
112085,117675,111148,117111
117170,121000,116000,116900
117000,117697,112750,114915
114915,118092,114417,115251
115057,117353,115053,117380
117381,122500,117217,121869
121869,123604,121450,122136
122136,137020,122109,132511
132699,152900,99709,113000
112350,138800,101000,108607
108648,113400,100000,107835
107827,116799,106641,110202
110202,110432,103874,106188
106146,108497,104505,107008
107006,109215,90112,96198
95831,97301,81275,89367
89366,96540,89366,94279
93974,96823,93890,95049
95050,96085,93058,94106
94106,96500,93400,95600
95610,104998,95283,101284
101287,105307,96054,98422
98443,103500,98131,101992
101992,103500,101501,103008
103010,106584,102887,105998
106000,108661,103210,105010
104824,109800,104683,106100
106192,106219,101200,103550
103550,104230,101500,101979
101980,104800,101638,104416
104437,106450,104300,105756
105756,106702,105492,106138
106137,106514,105880,106012
106012,106696,105500,105932
105932,109778,105306,107623
107655,113573,107310,111402
111402,114933,111364,113699
113699,119666,113473,116998
116998,117977,115027,116762
116716,118500,116602,117090
117090,119812,116061,117572
117604,119875,117046,119595
119600,123454,117655,120980
120800,123500,98450,111500
111500,115934,107422,111000
110879,115067,110639,114900
114898,115189,114151,114351
114355,117499,112500,115398
115302,117800,114995,116996
116987,117900,116390,117606
117552,118945,117402,118885
118999,121819,118617,121580
121579,122000,119335,121492
121490,121845,119828,121155
121155,122000,120472,121799
121799,128000,121550,127285
127285,133333,126630,129865
129866,132288,129708,132076
132076,140000,126100,137116
137113,138000,133123,133685
133693,135359,126011,134422
134401,136501,133200,134504
134504,139490,133927,136925
136926,141499,136925,141712
141711,145600,141051,145188
145218,150300,145003,149761
149761,150289,147250,148029
148028,148499,143000,146956
146998,148975,146956,148533
148512,148638,143220,144954
144899,146970,130512,140020
140020,146500,134903,137819
137783,150000,137001,145270
145283,146880,125010,139256
139323,141000,137806,140312
140314,145690,140200,144388
144390,145726,143738,145293
145293,146400,144600,145295
145296,145700,140000,141367
141319,141986,126970,135205
135205,135352,115000,115786
115605,127999,100194,116150
116172,128000,116013,120996
120978,126998,120640,125406
125426,127500,113833,115906
115840,121842,112596,117429
117379,117700,107349,110073
110081,111097,98592,105401
105450,111564,103006,109355
109363,115000,106934,114100
114120,119764,113084,118317
118257,119950,113116,117300
117305,117999,115010,115685
115601,119999,113105,118999
118999,124207,118793,121967
121950,123499,120800,122178
122200,128541,121760,127369
127317,129721,125803,126418
126350,128890,126101,127558
127615,132199,126800,130989
130943,135000,130379,133707
133820,134824,132946,134209
134204,134286,132061,133170
133171,136021,133150,135800
135800,135884,130083,134798
134799,135904,134757,135199
135197,135404,129025,129475
129474,132540,126666,131319
131319,132844,131110,132764
132806,133345,131235,131893
131956,132533,131500,132339
132344,133995,132132,133406
133438,133750,132481,133400
133482,135000,133271,134793
134801,138852,134709,138150
138118,138209,134623,136308
136390,138000,136292,137114
137114,139005,136907,138565
138565,140495,138120,140191
140191,144300,140113,144173
144173,148150,143028,147542
147497,149812,144291,147766
147766,149299,145888,147648
147415,148488,146731,148470
148481,158000,148137,156666
156593,174995,156593,166398
166398,170000,161305,166446
166458,179800,165550,179011
179092,186762,163384,177762
177757,179214,171500,176715
176719,180000,173000,176662
176661,200978,176000,193843
193843,220000,193635,209034
208883,217999,204751,216146
216146,219000,207459,214773
214960,216500,209000,211493
211496,213850,186139,200501
200501,214000,200010,210926
210893,213000,204756,205354
205385,208979,201570,207950
207950,221974,206011,221099
221091,221124,211007,219918
219705,234799,216300,233600
233609,242415,228464,239878
239799,300000,236100,258882
258842,288500,257500,287152
287506,302998,280100,300401
300700,303497,290011,299599
299599,349000,296662,335440
335028,335872,230255,273660
273658,281608,203000,235245
235256,280000,230000,266330
266330,270000,248001,264545
264545,276000,263680,270181
270181,272690,252202,268546
268532,278991,260820,273959
274161,278991,265503,272976
272940,281186,272674,279670
279605,293000,279589,285705
285705,293978,283514,293782
293782,322808,293660,315248
315381,319650,299500,308098
308095,311998,280289,299420
299376,314500,299222,314267
314267,321917,310700,319833
319840,322899,315000,320162
320163,338274,306001,317967
317965,318180,286400,306174
306174,313870,285000,294400
294397,297900,247001,255770
255769,289999,250002,279687
279917,298721,277743,292041
292050,305500,287628,292461
292456,296000,282200,288624
288545,298200,286538,296270
296160,307894,291350,301281
301413,304316,296587,303099
303036,308114,301791,307396
307396,307396,296000,298809
298493,302238,286048,295901
295901,299000,285000,284500
284676,290791,260105,265701
265985,288430,265257,285085
284877,290999,277500,285305
285310,289300,280001,286664
286251,289000,278009,279903
279909,281000,267514,274999
274999,289600,50000,286498
286303,298990,30000,293307
293307,293700,30000,290576
290595,296682,290164,292113
292113,293998,286220,287329
287656,291440,286022,290975
291014,293650,288888,290609
290601,291400,275350,279699
279694,282696,265053,271960
271960,272254,20000,267900
267900,276999,267391,269800
269786,270059,20000,261000
261000,261449,209919,219292
219318,257000,205324,211878
211873,234069,209562,235000
234735,268318,230545,266005
266006,267899,245820,262999
262945,290000,251052,281200
281200,329750,280200,293824
293896,319500,283000,303270
303270,315000,296001,305714
305714,309500,301599,308000
308232,309000,284101,287401
287403,292096,270000,281511
281559,289998,275080,287150
287148,312900,284000,306958
306958,310000,299018,302229
302401,305984,294200,304098
304098,315800,301333,310874
310635,334124,280126,301400
301400,310212,298000,300998
300852,305999,297000,304098
304099,317500,303991,317434
317422,356543,313834,355026
355001,372000,348306,363500
363565,379000,18000,375699
375699,394961,18000,383938
383930,387777,360008,362599
362594,381467,362500,379607
379608,388990,373500,387463
387459,414848,386928,413355
413355,469986,412703,448254
448254,480000,441220,476497
476153,497551,405485,443462
443463,473000,439000,453650
453878,489900,453812,487200
487051,488309,461500,470300
469540,473000,434008,446866
446901,462700,440732,446090
446090,455000,437560,441780
441898,442915,391000,429315
429308,466500,427084,458036
458033,465000,446690,462804
462887,482924,459501,476334
476371,481000,468998,472264
472216,479000,470928,476500
476595,480200,461017,472281
472277,494500,471560,489854
489981,509000,488500,501550
501550,526700,499245,519579
519678,537112,518501,533200
533213,568886,502104,506283
506284,543000,500501,506000
505907,524989,477080,485993
485993,504098,448001,486637
486625,509830,472031,503616
503647,512997,497500,505610
505599,506599,466021,477999
477815,489950,447003,462279
462233,472000,428005,450492
450465,471993,446323,462000
461999,476000,456216,467492
467563,477600,414157,418798
418798,439800,375134,390685
390683,400000,295000,389124
389143,433181,370100,393340
393579,415000,381163,402117
402385,451280,400603,441262
441339,458950,426111,440927
441035,447808,422563,445007
445007,445840,422512,424571
424744,427000,397443,404909
404929,429780,397066,421628
421628,426000,409777,413594
413921,437827,411500,433124
433128,443000,428100,434602
434658,452000,429500,449000
449000,477909,447003,463553
463614,469200,447000,463345
463151,483610,461290,483359
483494,489789,474800,479796
479716,498991,478322,493267
493423,497867,477321,482376
482300,489500,470511,472770
472898,486890,463100,482883
482883,494641,480500,490920
490685,493000,482205,485197
485085,507900,482499,505833
505859,519600,505282,519000
519000,543516,515748,537497
537473,551488,528800,535656
535700,587538,534003,582000
582000,666160,581003,648504
648516,649000,615576,641634
641600,651133,604275,626179
626188,645000,612010,632722
632729,644500,620017,626670
626668,634030,570000,585681
585681,640888,580101,638963
